City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,40,ZA,1562256698,67,-33.93,18.42,61.0,18.34
Atuona,61,PF,1562256716,68,-9.8,-139.03,79.68,8.01
Ust-Kuyga,65,RU,1562256717,81,70.0,135.55,42.6,5.39
Robertson,90,AU,1562256717,100,-34.59,150.59,54.0,4.7
Avarua,57,CK,1562256673,77,-21.21,-159.78,68.0,13.87
Lompoc,90,US,1562256684,100,34.64,-120.46,68.0,5.82
Ribeira Grande,40,PT,1562256717,60,38.52,-28.7,75.2,12.75
Vardo,40,US,1562256717,59,39.62,-77.74,90.0,2.59
Sitka,0,US,1562256718,60,37.17,-99.65,84.99,11.01
Srednekolymsk,100,RU,1562256718,80,67.46,153.71,49.44,9.84
Punta Arenas,75,CL,1562256718,92,-53.16,-70.91,32.0,9.17
Butaritari,100,KI,1562256718,70,3.07,172.79,83.46,5.12
Thompson,75,CA,1562256462,71,55.74,-97.86,55.4,10.29
Conakry,70,GN,1562256718,84,9.52,-13.7,80.58,11.65
Calama,0,CL,1562256718,11,-22.46,-68.93,60.8,12.75
Kutum,99,SD,1562256719,19,14.2,24.66,93.36,9.19
The Valley,40,AI,1562256641,62,18.22,-63.06,88.0,17.22
Beyneu,0,KZ,1562256719,14,45.32,55.19,95.34,13.18
Xining,27,CN,1562256719,63,36.62,101.77,53.04,6.31
Saint-Philippe,1,CA,1562256719,54,45.36,-73.48,88.0,3.36
Santa Cruz Cabralia,40,BR,1562256719,58,-16.28,-39.02,86.0,9.17
Puerto Ayora,20,EC,1562256719,65,-0.74,-90.35,77.0,14.99
Severo-Kurilsk,99,RU,1562256720,97,50.68,156.12,42.24,10.31
Palimbang,75,PH,1562256720,88,14.9,120.78,84.2,2.24
Albany,1,US,1562256428,61,42.65,-73.75,89.01,6.93
Farmington,1,US,1562256720,26,36.73,-108.21,78.01,8.05
Saint-Augustin,75,CA,1562256720,65,45.63,-73.98,88.0,4.7
Tuktoyaktuk,90,CA,1562256774,81,69.44,-133.03,53.6,18.34
Hobyo,100,SO,1562256774,66,5.35,48.53,79.86,30.49
Ancud,20,CL,1562256775,100,-41.87,-73.83,42.8,2.35
Erzin,0,TR,1562256775,55,36.95,36.2,88.0,10.29
Pangnirtung,75,CA,1562256775,81,66.15,-65.72,44.6,10.29
Lamu,0,CN,1562256775,50,35.77,102.37,59.34,2.77
Bluff,100,AU,1562256775,88,-23.58,149.07,58.98,10.42
Abha,40,SA,1562256775,57,18.22,42.5,80.6,17.22
Talnakh,0,RU,1562256775,68,69.49,88.39,66.2,13.42
Victoria,75,BN,1562256776,88,5.28,115.24,80.6,4.92
Saint-Pierre,0,FR,1562256776,26,48.95,4.24,84.99,11.41
Hit,0,IQ,1562256776,10,33.64,42.83,102.9,14.72
New Norfolk,0,AU,1562256776,93,-42.78,147.06,41.0,4.7
Kununurra,0,AU,1562256776,58,-15.77,128.74,55.4,3.36
Kapaa,20,US,1562256735,94,22.08,-159.32,73.4,5.82
Airai,0,TL,1562256776,81,-8.93,125.41,65.64,5.53
Grand Gaube,75,MU,1562256777,73,-20.01,57.66,73.4,6.93
Kapustin Yar,100,RU,1562256777,59,48.58,45.77,74.1,14.79
Klaksvik,100,FO,1562256777,100,62.23,-6.59,50.0,13.87
Heihe,75,RU,1562256777,100,50.24,127.51,57.2,8.95
Bathsheba,40,BB,1562256777,70,13.22,-59.52,86.0,25.28
Riyadh,0,SA,1562256727,6,24.63,46.72,107.6,14.99
Tecoanapa,90,MX,1562256777,88,16.99,-99.26,78.8,9.17
Port Elizabeth,29,US,1562256778,70,39.31,-74.98,91.99,8.05
Ponta do Sol,50,BR,1562256778,39,-20.63,-46.0,76.98,12.3
Cherskiy,98,RU,1562256778,69,68.75,161.3,46.2,6.82
Concordia,0,AR,1562256778,60,-31.4,-58.02,48.99,4.0
Saskylakh,55,RU,1562256778,79,71.97,114.09,51.78,6.04
Waipawa,100,NZ,1562256778,96,-39.94,176.59,44.01,1.01
Bereda,20,ES,1562256778,82,43.27,-7.54,71.01,9.17
Timra,0,SE,1562256779,58,62.49,17.33,57.2,9.17
Mahajanga,0,MG,1562256536,54,-15.72,46.32,78.8,2.24
Beringovskiy,81,RU,1562256779,87,63.05,179.32,49.44,5.79
Tomatlan,0,MX,1562256779,55,19.93,-105.25,84.36,1.45
Hambantota,20,LK,1562256779,94,6.12,81.12,82.4,9.17
Samarai,78,PG,1562256779,91,-10.62,150.67,70.5,2.73
Geraldton,75,CA,1562256780,61,49.72,-86.95,77.0,10.29
La Asuncion,33,AR,1562256780,61,-26.05,-65.39,47.46,5.5
Ixtapa,5,MX,1562256780,54,20.71,-105.21,87.01,6.33
Batesville,20,US,1562256563,74,35.77,-91.64,88.0,9.17
Bredasdorp,100,ZA,1562256780,49,-34.53,20.04,68.0,16.11
Nikolskoye,20,RU,1562256780,39,59.7,30.79,62.6,17.9
Balakhta,100,RU,1562256780,83,55.38,91.62,63.3,3.0
Kodiak,1,US,1562256781,50,39.95,-94.76,80.01,3.33
Mar del Plata,0,AR,1562256834,62,-46.43,-67.52,33.24,8.14
Moron,57,HT,1562256834,69,18.56,-74.26,82.2,1.74
Kaitangata,96,NZ,1562256835,85,-46.28,169.85,42.01,1.99
Kulhudhuffushi,99,MV,1562256835,74,6.62,73.07,84.0,11.92
Anadyr,0,RU,1562256835,71,64.73,177.51,53.6,15.66
Pevek,95,RU,1562256835,99,69.7,170.27,33.06,7.94
Coos Bay,40,US,1562256835,93,43.37,-124.22,64.99,3.36
Linares,58,CL,1562256785,77,-35.85,-71.6,47.28,13.02
Bazarnyye Mataki,0,RU,1562256836,70,54.9,49.93,63.48,14.54
Aranos,0,NA,1562256836,7,-24.14,19.11,76.08,3.09
Khatanga,100,RU,1562256836,59,71.98,102.47,53.58,14.45
Clyde River,90,CA,1562256836,100,70.47,-68.59,35.6,6.93
Leh,0,IN,1562256836,43,34.16,77.58,39.36,6.35
Kirkwall,75,GB,1562256836,93,58.98,-2.96,57.2,21.92
Pingliang,0,CN,1562256837,70,35.54,106.68,59.16,5.46
Nioro,7,GM,1562256837,32,13.79,-15.05,99.3,14.56
Ivdel,98,RU,1562256837,89,60.7,60.42,61.14,3.49
Pauini,77,BR,1562256837,77,-7.71,-67.0,78.24,1.88
Mayor Pablo Lagerenza,100,PY,1562256837,64,-19.93,-60.77,58.62,6.13
Morros,75,BR,1562256837,66,-2.87,-44.04,87.8,9.17
Hithadhoo,99,MV,1562256838,76,-0.6,73.08,84.72,12.39
Ostersund,75,SE,1562256838,75,63.18,14.64,46.4,3.36
Charters Towers,97,AU,1562256838,94,-20.07,146.27,60.24,13.53
Okha,0,RU,1562256838,94,53.59,142.95,45.84,16.93
Agadez,1,NE,1562256838,21,16.97,7.99,104.0,6.87
Kashiwazaki,59,JP,1562256838,94,37.37,138.57,72.0,1.99
Torbay,90,CA,1562256615,93,47.66,-52.73,54.0,4.7
Shingu,100,JP,1562256839,96,33.72,135.99,65.28,3.71
Mecca,0,SA,1562256643,25,21.43,39.83,97.5,12.24
Saint George,0,GR,1562256839,33,39.45,22.34,96.8,11.41
Isangel,40,VU,1562256839,93,-19.55,169.27,66.2,5.39
Pemberton,82,AU,1562256839,99,-34.44,116.03,48.0,4.0
San Cristobal,0,HN,1562256839,48,14.68,-86.92,78.42,3.44
Cocachacra,100,PE,1562256840,87,-17.09,-71.76,57.54,8.43
Qaqortoq,20,GL,1562256840,47,60.72,-46.03,59.0,6.93
Kenai,1,US,1562256840,77,60.55,-151.26,64.0,4.41
Guatire,17,VE,1562256824,62,10.47,-66.54,78.01,7.0
Vaitape,100,PF,1562256840,76,-16.52,-151.75,75.54,31.9
Riverton,75,US,1562256840,87,43.02,-108.38,66.0,11.41
Megion,0,RU,1562256840,88,61.04,76.11,69.8,6.71
Turukhansk,0,RU,1562256841,59,65.8,87.96,76.26,10.78
Iquique,90,CL,1562256894,67,-20.22,-70.14,60.8,3.36
Leeton,0,AU,1562256894,76,-34.55,146.4,50.0,12.75
Ilebo,75,CD,1562256895,21,-4.33,20.59,94.62,3.24
Saint-Francois,0,FR,1562256895,27,46.42,3.91,89.6,3.36
Rensvik,75,NO,1562256895,71,63.1,7.82,51.8,17.22
Kavieng,100,PG,1562256895,72,-2.57,150.8,84.36,12.35
Sorong,100,ID,1562256895,96,-0.86,131.25,72.66,6.22
Alice Springs,0,AU,1562256776,56,-23.7,133.88,42.8,4.7
Takoradi,100,GH,1562256895,84,4.89,-1.75,77.52,8.05
Carutapera,45,BR,1562256896,64,-1.2,-46.02,85.8,8.81
Belmonte,89,PT,1562256896,31,40.36,-7.35,78.01,6.73
Upernavik,0,GL,1562256896,69,72.79,-56.15,42.06,8.01
Anastasiyevskaya,40,RU,1562256896,74,45.22,37.89,80.6,6.71
Bubaque,24,GW,1562256896,80,11.28,-15.83,80.4,7.49
San Patricio,0,PY,1562256896,52,-26.98,-56.83,54.48,8.32
Komsomolskiy,48,RU,1562256896,41,67.55,63.78,80.58,14.0
Hervey Bay,100,AU,1562256897,87,-25.3,152.85,63.0,8.05
Pisco,90,PE,1562256897,30,-13.71,-76.2,71.6,5.82
Chokurdakh,67,RU,1562256897,85,70.62,147.9,42.06,4.61
Zakupne,2,UA,1562256897,45,49.12,26.33,72.0,3.0
Kharitonovo,23,RU,1562256897,83,61.4,47.5,61.14,4.79
Kochki,33,RU,1562256897,91,54.33,80.49,61.86,1.83
Lebu,75,ET,1562256897,82,8.96,38.73,60.8,8.05
Kizukuri,1,JP,1562256898,97,40.81,140.39,64.0,9.89
Salalah,90,OM,1562256898,89,17.01,54.1,84.2,10.29
Hualmay,100,PE,1562256898,82,-11.1,-77.61,62.4,11.23
Haines Junction,3,CA,1562256898,62,60.75,-137.51,59.16,3.85
Kasongo,0,CD,1562256898,20,-4.43,26.67,95.16,4.7
Ereymentau,74,KZ,1562256898,65,51.62,73.1,67.08,7.81
Turayf,0,SA,1562256898,14,31.68,38.65,96.8,11.41
Kozhevnikovo,79,RU,1562256899,85,56.26,83.98,66.0,1.99
Marathon,40,CA,1562256706,60,48.72,-86.38,69.8,6.93
Pangody,71,RU,1562256899,40,65.85,74.49,84.9,12.95
Aykhal,90,RU,1562256899,72,65.95,111.51,60.8,4.47
San Antonio,0,CL,1562256696,76,-33.58,-71.61,55.4,6.93
Ust-Nera,100,RU,1562256899,93,64.57,143.24,37.56,1.5
Barcelos,27,BR,1562256809,83,-0.97,-62.93,83.1,3.33
Caravelas,0,BR,1562256900,63,-17.73,-39.27,83.64,5.77
Medeiros Neto,0,BR,1562256900,45,-17.37,-40.22,85.98,8.9
Salinopolis,4,BR,1562256900,79,-0.61,-47.36,81.48,16.75
Fairbanks,75,US,1562256900,77,64.84,-147.72,61.0,11.41
Port-Cartier,75,CA,1562256900,68,50.03,-66.88,68.0,9.17
Yerbogachen,100,RU,1562256900,52,61.28,108.01,65.64,8.84
Mahebourg,75,MU,1562256900,73,-20.41,57.7,73.4,6.93
Cairns,25,AU,1562256685,82,-16.92,145.77,68.0,5.82
Manzanillo,20,MX,1562256847,78,19.05,-104.32,82.4,5.32
Brawley,1,US,1562256901,30,32.98,-115.53,88.0,9.17
Coahuayana,99,MX,1562256901,84,18.62,-100.35,76.44,1.7
George Town,75,MY,1562256874,83,5.42,100.33,86.0,2.24
Tucuman,0,PE,1562256954,13,-17.17,-70.89,70.68,5.46
Uruzgan,0,AF,1562256954,15,32.93,66.63,76.62,7.76
Choya,100,RU,1562256955,86,52.01,86.55,62.94,2.64
Port Blair,100,IN,1562256955,81,11.67,92.75,84.0,21.85
Marzuq,100,YE,1562256955,23,14.4,46.47,89.76,11.61
Salamiyah,0,SY,1562256955,22,35.01,37.05,94.08,18.3
Bontang,83,ID,1562256955,96,0.12,117.47,74.1,1.9
Kruisfontein,0,ZA,1562256955,84,-34.0,24.73,56.28,6.73
Bondo,91,CD,1562256955,61,3.81,23.69,82.02,2.48
Astoria,90,US,1562256956,93,46.19,-123.83,63.0,1.34
Davila,20,PH,1562256956,88,18.47,120.58,82.4,2.24
Pontes e Lacerda,0,BR,1562256956,42,-15.23,-59.33,86.34,7.9
Porto Novo,90,BR,1562256956,93,-23.68,-45.44,64.4,4.7
Miyako,100,JP,1562256956,88,33.63,130.94,73.4,1.12
Bolshoye Murashkino,85,RU,1562256956,72,55.78,44.78,55.92,14.14
Joao Pinheiro,33,BR,1562256957,37,-17.74,-46.17,79.68,8.48
Trairi,31,BR,1562256851,57,-3.28,-39.27,85.98,6.76
Aklavik,90,CA,1562256957,87,68.22,-135.01,59.0,11.41
Chiredzi,0,ZW,1562256957,33,-21.05,31.67,73.74,5.35
Saransk,0,RU,1562256824,68,54.19,45.18,60.24,14.5
Mehamn,75,NO,1562256957,87,71.03,27.85,46.4,6.93
Kitimat,90,CA,1562256957,93,54.02,-128.69,57.2,3.36
Dunedin,90,NZ,1562256731,79,-45.87,170.5,44.01,20.0
Itoman,75,JP,1562256958,88,26.12,127.67,80.6,8.05
Cidreira,12,BR,1562256958,53,-30.17,-50.22,52.14,15.61
Esperance,40,AU,1562256958,51,-33.86,121.89,59.0,9.17
Souillac,0,FR,1562256958,41,45.6,-0.6,93.0,8.05
Natal,40,BR,1562256831,62,-5.81,-35.21,86.0,16.11
Puerto Lleras,20,CO,1562256958,38,8.16,-72.46,87.8,3.36
Katangli,100,RU,1562256959,96,51.71,143.23,44.22,7.63
Pleasant Point,1,CA,1562256740,61,44.45,-78.7,84.0,8.05
Ordzhonikidze,65,UA,1562256959,58,44.96,35.36,75.0,8.75
Hun,2,BE,1562256959,43,50.34,4.87,77.0,8.05
Hofn,90,IS,1562256959,87,64.25,-15.21,50.0,8.05
Juan Lacaze,20,UY,1562256939,61,-34.43,-57.44,46.4,18.34
Tabou,100,CI,1562256959,84,4.42,-7.36,76.62,7.45
Bukene,18,TZ,1562256959,27,-4.23,32.89,83.28,4.63
Pandan,3,PH,1562256960,79,11.72,122.09,81.66,7.45
Vila Velha,20,BR,1562256960,58,-3.71,-38.6,86.0,18.34
Coihaique,20,CL,1562256960,100,-45.58,-72.07,37.4,2.62
Tokur,94,RU,1562256725,99,53.13,132.9,52.14,3.06
Manjacaze,0,MZ,1562256960,39,-24.71,33.88,70.68,5.39
Russell,75,US,1562256894,69,38.9,-98.86,82.99,20.8
Shibganj,99,BD,1562256961,61,25.01,89.36,89.04,6.02
Luderitz,0,NA,1562256961,77,-26.65,15.16,62.6,19.46
Cusset,0,FR,1562257014,29,46.13,3.46,90.0,6.93
Ambon,0,FR,1562257014,37,47.55,-2.56,86.0,13.87
Mount Gambier,3,AU,1562257015,93,-37.83,140.78,42.8,4.7
Mutoko,0,ZW,1562257015,27,-17.4,32.23,70.14,6.64
Champerico,40,MX,1562257015,65,16.38,-93.6,80.6,4.05
Enshi,100,CN,1562257015,95,30.29,109.48,60.78,1.79
Sao Filipe,84,CV,1562257015,86,14.9,-24.5,73.74,17.6
Grenville,75,CA,1562257015,65,45.62,-74.6,88.0,4.7
Busing,0,PH,1562257016,65,13.15,122.97,84.9,2.13
Aqtobe,0,KZ,1562256840,25,50.28,57.21,84.2,4.47
Lac-Megantic,20,CA,1562257016,61,45.58,-70.88,86.0,2.24
Awjilah,0,LY,1562257016,12,29.14,21.3,97.32,13.8
Fortuna,90,US,1562257016,100,40.6,-124.16,62.01,4.7
Marsh Harbour,99,BS,1562257016,68,26.54,-77.06,83.64,6.38
Hariana,47,IN,1562257016,14,31.64,75.84,106.5,2.13
Tautira,100,PF,1562257016,77,-17.73,-149.15,69.8,1.12
Deputatskiy,100,RU,1562257017,85,69.3,139.9,42.6,3.98
Lithakia,0,GR,1562257017,38,37.72,20.83,93.2,4.7
Goderich,2,CA,1562256801,67,43.74,-81.71,82.99,8.99
Katsuura,20,JP,1562257017,88,33.93,134.5,73.4,3.36
Ketchikan,90,US,1562256957,87,55.34,-131.65,57.2,3.36
Sokolo,77,ML,1562257017,20,14.74,-6.12,105.24,5.95
Bilma,32,NE,1562257017,16,18.69,12.92,105.96,0.4
Timizart,13,DZ,1562257017,90,36.8,4.25,74.1,3.42
San Quintin,0,PH,1562257017,85,17.54,120.52,76.08,3.51
Bafang,100,CM,1562257018,93,5.16,10.18,74.28,2.68
Oum Hadjer,0,TD,1562257018,26,13.3,19.7,100.92,3.36
Kaeo,31,NZ,1562257018,95,-35.1,173.78,45.0,4.0
Inta,76,RU,1562257018,47,66.04,60.13,80.22,10.65
Trelew,0,AR,1562256872,60,-43.25,-65.31,36.48,14.92
Dingzhou,0,CN,1562257018,65,38.51,115.0,78.8,15.66
Ossora,1,RU,1562257018,90,59.24,163.07,49.44,1.39
Hof,0,DE,1562257019,28,50.32,11.92,79.0,9.17
Gurjaani,20,GE,1562257019,48,41.75,45.79,82.4,24.16
Vytegra,73,RU,1562257019,78,61.01,36.45,58.8,4.92
Troyes,0,FR,1562256762,25,48.3,4.07,86.0,6.93
Naco,1,MX,1562257019,28,31.32,-109.94,84.99,5.82
Sarangani,100,PH,1562257019,74,5.4,125.46,80.4,6.78
Jodhpur,96,IN,1562257019,43,26.3,73.04,97.32,23.04
Tasiilaq,20,GL,1562257020,47,65.61,-37.64,55.4,14.99
Beloha,90,MG,1562257020,72,-25.17,45.06,68.16,8.68
La Ronge,75,CA,1562257020,72,55.1,-105.3,59.0,11.41
Kolosovka,35,RU,1562257020,92,56.47,73.61,61.68,7.61
Planaltina,0,BR,1562257020,30,-15.62,-47.66,82.99,12.75
Zastron,0,ZA,1562257020,21,-30.3,27.08,56.1,9.62
Shihezi,100,CN,1562257020,35,44.3,86.03,76.44,11.86
Chama,100,ZM,1562257021,45,-11.22,33.16,73.74,1.99
Nemuro,96,JP,1562256848,96,43.32,145.57,52.68,10.42
Havelock,1,US,1562257074,62,34.88,-76.9,91.99,9.17
Rabo de Peixe,75,PT,1562257074,93,37.8,-25.58,66.2,8.05
Lagoa,20,PT,1562257075,77,37.14,-8.45,73.0,13.87
Balakhninskiy,60,RU,1562257075,61,58.01,114.28,50.7,0.4
Paamiut,82,GL,1562257075,72,61.99,-49.67,44.76,6.58
Ferkessedougou,97,CI,1562257075,57,9.6,-5.2,88.5,7.34
Port Lincoln,0,AU,1562257075,72,-34.72,135.86,57.0,17.4
Odienne,83,CI,1562257075,69,9.51,-7.57,84.72,2.93
Dembi Dolo,83,ET,1562257075,83,8.53,34.8,75.72,1.63
Bristol,97,GB,1562256854,40,51.45,-2.6,78.01,6.93
Qaanaaq,92,GL,1562256907,55,77.48,-69.36,43.32,1.45
Tateyama,100,JP,1562257076,92,36.66,137.31,73.0,3.42
Bambous Virieux,40,MU,1562257076,78,-20.34,57.76,71.6,9.17
Monroe,75,US,1562256812,89,41.91,-83.4,87.01,5.82
Wilmington Island,1,US,1562257076,56,32.0,-80.97,93.2,4.7
Ahipara,34,NZ,1562257076,69,-35.17,173.16,57.18,25.1
Nyurba,33,RU,1562257076,97,63.29,118.35,50.52,2.33
Husavik,0,CA,1562257077,33,50.56,-96.99,75.0,7.65
Saurimo,0,AO,1562257077,27,-9.66,20.4,87.8,5.82
Lavrentiya,85,RU,1562257077,88,65.58,-170.99,47.28,8.61
Morondava,0,MG,1562257077,73,-20.3,44.28,77.7,14.83
Clara,90,IE,1562257077,55,53.34,-7.61,75.0,3.0
Quimper,0,FR,1562256886,39,48.0,-4.1,84.99,6.93
Belgrade,0,RS,1562257077,50,44.82,20.46,78.8,11.41
Lorengau,39,PG,1562257078,80,-2.02,147.27,78.24,2.64
Aparecida do Taboado,100,BR,1562257078,87,-20.08,-51.1,69.24,6.15
Port Augusta,0,AU,1562257078,93,-32.49,137.76,44.01,5.82
Taoudenni,64,ML,1562257078,6,22.68,-3.98,116.76,17.25
Plyussa,100,RU,1562257078,41,58.42,29.37,62.22,8.01
Aloleng,54,PH,1562257078,75,16.13,119.78,84.9,11.3
Newport,83,GB,1562257078,40,51.59,-3.0,79.0,6.93
Arlit,0,NE,1562257079,10,18.74,7.39,107.76,2.71
Gemena,92,CD,1562257079,59,3.25,19.78,85.98,1.95
Baoqing,12,CN,1562257079,92,46.32,132.2,58.08,5.64
Patnongon,94,PH,1562257079,71,10.91,121.99,81.3,2.59
Avera,1,US,1562257079,59,33.19,-82.53,91.4,5.82
Katherine,2,AU,1562257079,43,-14.47,132.26,55.4,9.17
Guerrero Negro,0,MX,1562257079,89,27.97,-114.04,64.02,10.83
Norman Wells,40,CA,1562257080,67,65.28,-126.83,60.8,9.17
Tura,85,RU,1562257080,57,64.27,100.22,73.92,8.19
Gornopravdinsk,33,RU,1562257080,63,60.06,69.92,69.78,3.0
Bela,5,PK,1562257080,61,26.23,66.31,88.32,5.26
Grindavik,75,IS,1562257080,76,63.84,-22.43,51.8,13.87
Puerto Rico,58,CO,1562257078,58,1.91,-75.15,69.06,4.34
Harihar,92,IN,1562256872,79,14.52,75.8,75.72,17.31
Manica,20,MZ,1562257080,63,-18.94,32.88,66.2,5.79
De-Kastri,95,RU,1562257081,95,51.48,140.77,52.32,9.4
Necochea,100,AR,1562257134,72,-38.55,-58.74,46.0,13.0
Bonao,40,DO,1562257116,58,18.94,-70.41,87.8,13.87
Alofi,18,NU,1562257134,69,-19.06,-169.92,73.4,12.75
Karaidel,0,RU,1562257135,82,55.83,56.91,65.28,11.07
Nantong,100,CN,1562257135,81,31.98,120.89,80.01,5.95
Vostok,38,RU,1562257135,95,46.45,135.83,56.82,3.13
Waitara,28,NZ,1562257135,93,-39.0,174.24,54.0,14.0
Naushki,0,RU,1562257135,48,50.39,106.11,58.8,5.59
Bonthe,98,SL,1562257135,83,7.53,-12.5,80.58,14.34
Meadow Lake,40,CA,1562257136,72,54.13,-108.44,60.8,6.93
Blagoyevo,71,RU,1562257136,43,63.37,47.92,70.32,6.64
Nishihara,20,JP,1562257136,88,35.74,139.53,71.01,11.41
Namatanai,81,PG,1562257136,82,-3.66,152.44,78.6,14.47
Yulara,0,AU,1562257136,49,-25.24,130.99,46.4,6.93
Constitucion,20,MX,1562257136,63,23.99,-104.67,70.0,3.36
Romanovskaya,98,RU,1562257137,83,47.54,42.02,67.62,8.52
Pozo Colorado,100,PY,1562257137,48,-23.49,-58.8,54.12,4.54
Naze,100,NG,1562257137,79,5.43,7.07,80.4,9.06
Lazaro Cardenas,40,MX,1562257137,36,28.39,-105.62,82.0,4.7
Nieuw Amsterdam,40,SR,1562257137,79,5.88,-55.08,86.0,9.17
Mokhsogollokh,94,RU,1562257137,83,61.4,128.95,46.38,4.23
Iqaluit,75,CA,1562257138,75,63.75,-68.52,46.4,18.34
Kremnica,0,SK,1562257138,31,48.71,18.92,77.0,12.75
Moba,0,CD,1562257138,32,-7.04,29.77,75.0,7.63
Rocha,26,UY,1562257138,66,-34.48,-54.34,45.3,20.6
Honiara,40,SB,1562257138,100,-9.43,159.96,73.4,9.17
Derzhavinsk,33,KZ,1562257138,51,51.1,66.31,73.2,8.93
Qasigiannguit,20,GL,1562257139,57,68.82,-51.19,50.0,6.93
Pangoa,98,PE,1562257139,90,-12.12,-73.0,73.02,2.15
Manpur,75,IN,1562257139,79,24.8,85.03,87.8,4.7
Pesca,3,CO,1562257139,54,5.56,-73.05,60.96,7.2
Bang Mun Nak,100,TH,1562257139,78,16.03,100.38,78.96,13.96
Barinas,0,VE,1562257139,54,8.64,-70.23,85.08,5.19
Vao,53,EE,1562257139,42,59.1,26.19,61.14,8.86
